n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
1000,0.1,1,original,0.471092148727148,0.22557324549025748,0.5211695926163539,0.471092148727148,0.24796161548330317,0.4736451962672803,34,2098809.0,600.0096130371094
1000,0.1,1,opt,inf,-inf,,0.4710921487271479,0.471092148727148,-2.356700334796255e-16,34,1.0,0.1981661319732666
2000,0.1,1,original,0.4837363781100154,0.2870644632148499,0.40656837855274286,0.4837363781100154,0.300738588051129,0.37830065783737166,31,1101122.0,600.0086190700531
2000,0.1,1,opt,inf,-inf,,0.48373637811001546,0.4837363781100154,1.147549651902198e-16,31,1.0,0.2977030277252197
5000,0.1,1,original,0.4848229276719879,0.3412418351960506,0.29615161387969385,0.4848229276719879,0.3462769089237173,0.28576622688522146,14,338376.0,600.0059280395508
5000,0.1,1,opt,inf,-inf,,0.4848229276719879,0.48482292767198787,1.1449778478466364e-16,14,1.0,0.8936738967895508
10000,0.1,1,original,0.4994024728848969,0.4158015419891029,0.16740191615963923,0.4994024728848969,0.4183973679045478,0.16220405259991438,6,150801.0,600.0189998149872
10000,0.1,1,opt,inf,-inf,,0.4994024728848969,0.4994024728848969,0.0,6,1.0,1.8159809112548828
100,0.1,2,original,0.3282790047966096,0.1360868894871635,0.5854535699854511,0.317000164634588,0.2664879604570212,0.1593444099178723,20,15521992.0,600.0065689086914
100,0.1,2,opt,inf,-inf,,0.31700016463503383,0.3169850049697834,4.78222630196617e-05,20,1.0,0.04825997352600098
200,0.1,2,original,0.3365714419517288,0.13995345997540695,0.5841790403730119,0.33339161889168756,0.2259999417581398,0.32211870679459764,23,9568550.0,600.0036449432373
200,0.1,2,opt,0.33339158228613064,0.33326513646144634,0.00037927119760262803,0.33339158228613053,0.33339158228613064,-3.330087151607556e-16,23,1.0,0.12478184700012207
300,0.1,2,original,0.3713588544920371,0.13698500853543152,0.6311249701510245,0.37093714384308124,0.20087333087437428,0.45847070262839357,27,7699881.0,600.0037729740143
300,0.1,2,opt,inf,-inf,,0.3709371438433793,0.37093714384337884,1.19720879189594e-15,27,1.0,0.1253669261932373
500,0.1,2,original,0.4132992192149636,0.1956284244914471,0.5266663584242156,0.4132992192149636,0.23353199882084283,0.43495659327781344,30,5045914.0,600.004802942276
500,0.1,2,opt,inf,-inf,,0.4132992192149465,0.4132992192149265,4.835241276577306e-14,30,1.0,0.11524009704589844
1000,0.1,2,original,0.4400086628220964,0.2030455204481096,0.5385419933647883,0.4400086628220964,0.22858760358507757,0.48049294730022224,29,2407412.0,600.0068848133087
1000,0.1,2,opt,inf,-inf,,0.44000866282209633,0.4400086628220964,-1.2615922349170207e-16,29,1.0,0.228302001953125
2000,0.1,2,original,0.4764401283826543,0.2974521920731863,0.37567770984587034,0.4764401283826543,0.30925055031357057,0.35091414032783763,28,1044256.0,600.0037620067596
2000,0.1,2,opt,inf,-inf,,0.4764401283826543,0.4764401283826533,2.0972220067914386e-15,28,1.0,0.24226808547973633
