m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,200,diabetes,cut,97.33195555,78.20393501,0.196523541,80.17219182,78.20405004,0.024548933,143976,300.011852
3,50,diabetes,original,13.93897892,6.066487507,0.564782504,13.93897892,13.93897892,0,23088,0.689351082
3,50,diabetes,no_cut,14.06980924,5.728100551,0.592880013,13.93897799,13.93897799,1.82E-11,49224,2.333026886
3,50,diabetes,cut,14.06980829,5.728100551,0.592879986,13.93897897,13.9389677,8.09E-07,48812,2.125931978
3,60,diabetes,original,18.79900718,7.754565541,0.587501326,18.79900718,18.79841414,3.15E-05,578529,12.87814403
3,60,diabetes,no_cut,18.79900722,7.218388109,0.616022909,18.79900565,18.79825969,3.97E-05,2829836,137.10128
3,60,diabetes,cut,18.95208368,8.80250777,0.535538787,18.79900471,18.79777914,6.52E-05,5784933,235.306145
3,70,diabetes,original,22.81231592,8.725710495,0.617500015,22.81231592,22.41445756,0.017440507,10158364,300.002646
3,70,diabetes,no_cut,22.81231697,8.101582357,0.644859294,22.81231398,19.62964971,0.139515188,4454451,300.008707
3,70,diabetes,cut,22.82957182,11.78644229,0.483720396,22.81231442,19.48746876,0.145747844,5087202,300.002687
3,80,diabetes,original,26.03178197,9.645263025,0.629481261,26.03178197,23.39514202,0.101285419,9339121,300.0086319
3,80,diabetes,no_cut,26.03178389,10.23831307,0.606699521,26.03178201,20.86553546,0.198459197,3467970,300.004235
3,80,diabetes,cut,26.55595939,13.25854337,0.500731901,26.03178029,21.03304674,0.192024268,4722002,300.008606
3,90,diabetes,original,28.75031246,10.53315762,0.633633282,28.75031246,24.31982275,0.154102315,9576997,300.0043411
3,90,diabetes,no_cut,28.75031321,11.25425425,0.608551943,28.75031246,22.59977573,0.213929387,3788013,300.0288491
3,90,diabetes,cut,28.75031255,11.27798221,0.607726622,28.75030837,22.64441371,0.212376667,3913497,300.008363
3,100,diabetes,original,31.34530933,11.38954979,0.63664261,31.34530933,25.21348213,0.195621844,7927595,300.0078659
3,100,diabetes,no_cut,31.34530938,12.60562557,0.59784651,31.34530808,23.71009645,0.243583876,3102419,300.011349
3,100,diabetes,cut,32.01287924,14.89629438,0.534678082,31.34530771,23.23172997,0.25884505,3224390,300.0066781
3,120,diabetes,original,38.11553393,15.1750703,0.601866517,38.11553393,28.537411,0.251291847,4312960,300.1288722
3,120,diabetes,no_cut,38.17037604,14.97004353,0.607809902,38.11553165,27.27488975,0.28441534,2559722,300.017936
3,120,diabetes,cut,38.94064225,18.77042108,0.517973511,38.11553273,26.66871328,0.30031902,2577882,300.0082731
3,150,diabetes,original,46.05035671,19.88134148,0.568269544,46.05035671,32.63871381,0.291238632,5068682,300.0199032
3,150,diabetes,no_cut,47.39485347,21.11957375,0.55439099,46.05035424,31.04153642,0.325921876,2269217,300.0078809
3,150,diabetes,cut,46.86450144,23.28153857,0.503215913,46.05035406,30.86517211,0.329751687,2534462,300.008997
3,200,diabetes,original,58.98550987,26.69543479,0.547423853,58.88236078,39.36516513,0.331460821,3385067,300.0101111
3,200,diabetes,no_cut,60.41525935,27.68277946,0.541791598,58.88235975,37.00542699,0.371536278,908100,300.0134969
3,200,diabetes,cut,60.0508357,30.98578807,0.48400738,58.88236019,36.85714988,0.374054475,1092026,300.006187
