n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
500,0.01,0.12,0,original,0.45670192326510317,0.2485459860631981,0.45578073267949903,0.45670192326510317,0.3113927723403481,0.31817065688249135,22,9165214.0,3601.48148393631
500,0.01,0.12,0,opt,inf,-inf,,0.45670192326518877,0.45670192326519,-2.674053392103942e-15,22,1.0,0.6741230487823486
500,0.01,0.12,1,original,0.44936310207840235,0.18916459221278437,0.5790384405442796,0.4493631020784023,0.2593419393211588,0.42286774743710426,26,7927304.0,3600.2433338165283
500,0.01,0.12,1,opt,inf,-inf,,0.4493631020784032,0.4493631020784037,-1.1117965822528795e-15,26,1.0,1.3826398849487305
500,0.01,0.12,2,original,0.47042162602887416,0.24764238045084358,0.47357356305799714,0.47042162602887416,0.30588921971954397,0.34975519237551234,17,8824890.0,3601.233603954315
500,0.01,0.12,2,opt,inf,-inf,,0.4704216260288749,0.4704216260288749,0.0,17,1.0,1.8249709606170654
500,0.01,0.12,3,original,0.4286634348398073,0.23225584809517216,0.45818600510685775,0.4286634348398073,0.29323427081632053,0.3159335576968374,16,8996613.0,3602.6668219566345
500,0.01,0.12,3,opt,inf,-inf,,0.42866343483980734,0.42866343483980757,-5.179928747783444e-16,16,1.0,1.9511120319366455
500,0.01,0.12,4,original,0.44816679699694517,0.22795051780645054,0.4913712498697124,0.44816679699694517,0.28886925975649125,0.3554425234262496,19,13305383.0,3600.4879581928253
500,0.01,0.12,4,opt,inf,-inf,,0.4481667969969451,0.4481667969969453,-3.7158811141225314e-16,19,0.0,0.16058087348937988
