n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
500,0.2,0.1,3,original,0.45402064387177865,0.21842523628998595,0.5189090204636773,0.45402064387177865,0.27171547609445834,0.40153497475944216,20,2165364.0,3600.0168800354004
500,0.2,0.1,3,opt,0.45402064387219465,0.2385983517068822,0.47447686591527133,0.4540206438721946,0.4540206078381092,7.936662323302396e-08,20,1588.0,28.891140937805176
500,0.2,0.1,4,original,0.4611016549604102,0.19501569251914835,0.5770657285194688,0.4611016549604102,0.24569024049966157,0.46716686471065405,19,1927491.0,3600.01819896698
500,0.2,0.1,4,opt,0.46110165496086786,0.21159859431173722,0.5411020714516956,0.46110165496086786,0.46110165496086786,0.0,19,29375.0,725.339928150177
500,0.5,0.1,0,original,0.45882345237269573,0.20461828798584356,0.5540369897665234,0.45882345237269573,0.2538927632349047,0.44664388465332583,16,1394447.0,3600.013902902603
500,0.5,0.1,0,opt,0.45882345237298966,0.21656447009864566,0.5280004346364695,0.45882345237298966,0.45882345237298966,0.0,16,12303.0,615.8241391181946
500,0.5,0.1,1,original,0.46261498854909205,0.19591211590812793,0.5765115252262563,0.46261498854909205,0.2430182122340088,0.47468582244559065,16,1247038.0,3600.0214211940765
500,0.5,0.1,1,opt,0.4626149885492945,0.2057897012666277,0.5551598924367762,0.4626149786070002,0.46261497860700024,-1.199942799050948e-16,16,41184.0,1514.2560260295868
500,0.5,0.1,2,original,0.4705502627086856,0.20907635617427522,0.5556768899229944,0.4705502627086856,0.2569385029484388,0.4539616204454069,14,1421103.0,3600.0170509815216
500,0.5,0.1,2,opt,0.4705502627087146,0.21959838451143476,0.5333157753492254,0.4705502625311272,0.4705502625313855,-5.489177400298579e-13,14,34903.0,1038.7549681663513
500,0.5,0.1,3,original,0.47059797179692275,0.24271861728859712,0.4842336095036603,0.47059797179692275,0.28725094893796715,0.3896043626343451,17,1488084.0,3600.0218229293823
500,0.5,0.1,3,opt,0.4705979717969229,0.25736641342027533,0.45310768672131757,0.47059797179692286,0.4705938540344254,8.750064267715728e-06,17,1716.0,49.08395195007324
500,0.5,0.1,4,original,0.4615324707055,0.21371963628660195,0.5369347773951648,0.4615324707055,0.26246213246827416,0.4313246648343643,21,1368064.0,3600.026980161667
500,0.5,0.1,4,opt,0.46153247070550085,0.22504668047113402,0.5123925297669164,0.4615324696438918,0.46152138299474915,2.402138499849478e-05,21,14603.0,238.97352004051208
