,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
29,3,50,diabetes,cut,14.06980872032203,5.7316498623927075,0.592627733871458,13.93897873740362,13.937986234995941,7.120338056151607e-05,59390.0,3.0655200481414795
30,3,60,diabetes,original,18.7990071774505,7.754565540607395,0.5875013256067568,18.7990071774505,18.79831398310955,3.687398671661956e-05,584227.0,13.68644094467163
31,3,60,diabetes,no_cut,18.799008055019733,7.132849374664165,0.6205730986556207,18.799003936402244,18.79783483339659,6.218962502533479e-05,5005404.0,239.12423610687256
32,3,60,diabetes,cut,24.436084314514964,19.082056312512325,0.21910335277499277,21.698659534964406,20.998717336051314,0.032257393494065,5451314.0,300.0033669471741
33,3,70,diabetes,original,22.812315920184755,8.423764435129641,0.6307361135711723,22.812315920184755,22.699249727670267,0.004956366241379498,11277654.0,300.00423789024353
34,3,70,diabetes,no_cut,22.812316839009277,8.101555514780344,0.6448604684936425,22.812314262494922,19.405275794184806,0.14935084748992483,4351832.0,300.0046648979187
35,3,70,diabetes,cut,22.812315981280832,11.784442131619874,0.4834175477277332,22.81231378541252,19.52420872569566,0.14413728877512894,5523665.0,300.00213098526
36,3,80,diabetes,original,26.03178196916444,10.202089012626564,0.6080910240908096,26.03178196916444,23.32151555380682,0.1041137490536771,8802814.0,300.00318694114685
37,3,80,diabetes,no_cut,26.03178399772367,9.630043747514033,0.6300659321560088,26.03178005677784,21.344765687237523,0.18004970690891997,3758787.0,300.0056240558624
38,3,80,diabetes,cut,26.25636912733293,15.606953676842075,0.40559360659676263,26.031778242949457,21.44701970015154,0.17612160414126418,4550531.0,300.0048658847809
39,3,90,diabetes,original,28.750312456094072,10.627153431844915,0.6303638978507057,28.750312456094072,24.17486527102839,0.1591442594598948,8279524.0,300.00507402420044
40,3,90,diabetes,no_cut,28.75031320158577,10.38283255611487,0.6388619322748043,28.75030842498778,22.597474495808164,0.21400931907332155,3511262.0,300.0038390159607
41,3,90,diabetes,cut,36.1641880196497,23.31854790070553,0.35520333297583045,30.394722007906026,25.72279557194256,0.15370847723983933,3858921.0,300.0019769668579
42,3,100,diabetes,original,31.345309329945227,11.504056073273293,0.6329895502966665,31.345309329945227,25.14034798085753,0.19795502043937044,7253942.0,300.0035240650177
43,3,100,diabetes,no_cut,31.56576778746278,11.271746562833599,0.6429123270902827,31.34530738310551,23.85507435878963,0.23895867195588472,3141587.0,300.00388503074646
44,3,100,diabetes,cut,31.77337101582711,19.43734243487866,0.3882505439792198,31.45517153598639,23.46883250201901,0.25389589832090365,3603925.0,300.00414085388184
45,3,120,diabetes,original,38.115533930827965,15.286833318280292,0.5989342994375253,38.115533930827965,28.907055896297905,0.24159383550133648,6320826.0,300.0033481121063
46,3,120,diabetes,no_cut,38.256638954417944,14.902697012407096,0.6104546186045414,38.11553310346146,27.267836882552345,0.28460040664953945,2593224.0,300.01455998420715
47,3,120,diabetes,cut,38.18053375505411,20.96344425880478,0.4509389419934506,38.11553167168267,26.591373311811747,0.3023480941873523,2724272.0,300.0097370147705
48,3,150,diabetes,original,46.050356714487606,19.88144357855872,0.5682673273993566,46.050356714487606,32.72145007542319,0.28944198460184983,5465574.0,300.005154132843
49,3,150,diabetes,no_cut,46.88594698499093,19.613468458499316,0.5816770328905172,46.05035443611155,31.057520014545954,0.32557478884046515,1954537.0,300.0040330886841
50,3,150,diabetes,cut,46.28740559052411,24.362175134498056,0.4736759422203295,46.05035533702306,31.110449131198042,0.324425427262964,2273783.0,300.00761795043945
51,3,200,diabetes,original,58.88236077547576,26.99894808363915,0.5414764671785359,58.88236077547576,39.5369566529011,0.328543283044316,3889219.0,300.01724100112915
52,3,200,diabetes,no_cut,59.88074397839166,26.477841042530557,0.5578237796763973,58.88235913121514,37.50939524648201,0.3629773704736423,1184435.0,300.0098879337311
53,3,200,diabetes,cut,59.33366411029572,30.986507923203895,0.4777583958812508,58.8823598367155,36.980312847387026,0.37196279242313374,1285087.0,300.00951385498047
54,2,50,autompg,original,6.814598488853694,4.328662041842958,0.3647957324377747,6.814598488853694,6.814598488853694,0.0,157.0,0.06524896621704102
55,2,50,autompg,no_cut,7.234346186137341,-0.29171917118558,1.040324192909731,6.814598498163434,6.814598498163434,0.0,807.0,0.8771371841430664
56,2,50,autompg,cut,6.814599493398251,6.811253844890803,0.0004909530649144189,6.814598609249224,6.814542789829382,8.191152999992424e-06,256.0,0.16321992874145508
57,2,60,autompg,original,7.345806811690313,3.988063370435434,0.4570966167952139,7.345806811690313,7.345806811690313,0.0,365.0,0.0698399543762207
58,2,60,autompg,no_cut,7.7323285675460625,-652.3325382425652,85.36430663080189,7.3458068216899015,7.3458068216899015,0.0,1109.0,0.8131599426269531
59,2,60,autompg,cut,7.732328205580739,7.3405204029729205,0.050671387994761355,7.345806305259234,7.343237060224787,0.00034975670847838284,503081.0,300.00932002067566
60,2,70,autompg,original,9.119022158398991,4.999299509921055,0.45177241341425006,9.119022158398991,9.119022158398991,0.0,827.0,0.14992189407348633
