n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
1000,0.2,1,opt,inf,-inf,,0.40262183236076177,0.40262120021771686,1.570066484480258e-06,85,0.0,0.17929315567016602
1000,0.2,2,original,0.38293418643848365,0.38113332447438225,0.004702797576916512,0.3827359376525948,0.3826987587712572,9.713977100141543e-05,86,464.0,2.5386011600494385
1000,0.2,2,opt,inf,-inf,,0.38273580504122817,0.38273580504122817,0.0,86,0.0,0.1686999797821045
1000,0.2,3,original,0.4114261906203543,0.3911202274794996,0.049355057125160355,0.3929563699177509,0.39291902203908496,9.504332166381709e-05,88,1104.0,4.277836799621582
1000,0.2,3,opt,inf,-inf,,0.3929563495634589,0.3929563495634589,0.0,88,0.0,0.2127389907836914
1000,0.2,4,original,0.4238582515097431,0.3990845923975353,0.05844798119174598,0.40120954092068783,0.4011723837811822,9.261280133162254e-05,84,10228.0,8.262760162353516
1000,0.2,4,opt,inf,-inf,,0.40120952724506076,0.40120952724506076,0.0,84,0.0,0.22291111946105957
2000,0.2,0,original,0.4227160964398988,0.4212190088420034,0.003541591177870516,0.42220536603082337,0.4221662073467394,9.274795451353039e-05,149,4778.0,12.66854977607727
2000,0.2,0,opt,inf,-inf,,0.42220536100475425,0.42220536100475425,0.0,149,0.0,0.35087013244628906
2000,0.2,1,original,0.423711515780448,0.40820125418664205,0.036605711707497775,0.4094837121154795,0.4094436070216294,9.794063271263086e-05,157,7378.0,15.73964810371399
2000,0.2,1,opt,inf,-inf,,0.4094837100980996,0.4094837100980996,0.0,157,0.0,0.5465149879455566
2000,0.2,2,original,0.42571419936288907,0.42109515416702115,0.010850108365613936,0.4231013309066266,0.42238643429390105,0.0016896581516150477,145,754395.0,600.0078241825104
2000,0.2,2,opt,inf,-inf,,0.4231013307582081,0.4231013307582081,0.0,145,0.0,0.31163597106933594
2000,0.2,3,original,0.4127762452430464,0.4056811837457436,0.017188638103738715,0.4106235122407802,0.40992539403325545,0.0017001418250871725,156,879151.0,600.0064089298248
2000,0.2,3,opt,inf,-inf,,0.410623497916198,0.410623497916198,0.0,156,0.0,0.29297590255737305
2000,0.2,4,original,0.4097636375085519,0.40898897766950265,0.0018905041056334886,0.4096876446459132,0.409681160462172,1.5827140080747128e-05,140,234.0,5.589154005050659
2000,0.2,4,opt,inf,-inf,,0.4096876444564036,0.4096876444564036,0.0,140,0.0,0.3980979919433594
5000,0.2,0,original,0.43702050181411595,0.43634863444523164,0.0015373818072500394,0.4367053451169186,0.4366641554182909,9.431919963489479e-05,303,1168.0,42.95813584327698
5000,0.2,0,opt,inf,-inf,,0.4367053417634652,0.43670534176345405,2.5549816616454954e-14,303,1.0,2.0175600051879883
5000,0.2,1,original,0.44183316064230393,0.4365964708839806,0.011852188166932972,0.4369340340985768,0.43690759021233594,6.0521461312577865e-05,317,528.0,30.020069122314453
5000,0.2,1,opt,inf,-inf,,0.4369330519342401,0.43693305193422666,3.074543923490185e-14,317,1.0,1.8244051933288574
5000,0.2,2,original,0.43849241188329774,0.4381911127308629,0.0006871251229656597,0.4384884151401147,0.43848841644833364,-2.983474310632129e-09,319,668.0,37.52328586578369
5000,0.2,2,opt,inf,-inf,,0.4384884150900006,0.43848841508998826,2.8104449625675563e-14,319,1.0,1.6067249774932861
5000,0.2,3,original,0.443844196024189,0.442249237870029,0.0035935090927111603,0.44281989207069383,0.4427811049725037,8.759113780714063e-05,320,1962.0,52.26352095603943
5000,0.2,3,opt,inf,-inf,,0.44281988839013425,0.44281988839012215,2.732811078655206e-14,320,1.0,1.984623908996582
5000,0.2,4,original,0.44152848870824213,0.4366647624574755,0.011015656690684227,0.43702007619354843,0.4369801588968063,9.133973223795931e-05,296,1568.0,42.757956981658936
5000,0.2,4,opt,inf,-inf,,0.43702007389547887,0.43702007389546615,2.908803140012822e-14,296,1.0,1.871776819229126
10000,0.2,0,original,0.44708814907656547,0.4465992922981815,0.0010934237004350386,0.44678866021822383,0.44673650312541563,0.00011673772736919449,561,9754.0,600.0309040546417
10000,0.2,0,opt,0.4467886571955445,0.4467426083779606,0.00010306621898808901,0.4467886573772891,0.4467886571955445,4.067798417735774e-10,561,3.0,7.207735061645508
10000,0.2,1,original,0.4535496141154641,0.44852494831753653,0.011078536154698101,0.4487126988642576,0.44866311029054823,0.0001105129715179922,534,11619.0,601.3747320175171
10000,0.2,1,opt,inf,-inf,,0.44871265354771633,0.4487126010038326,1.1709917990622331e-07,533,1.0,7.216079950332642
10000,0.2,2,original,0.4483432412977515,0.44651863997278096,0.004069652794785383,0.44732361183913927,0.4471143941250748,0.0004677099722151357,553,59319.0,600.0907590389252
10000,0.2,2,opt,inf,-inf,,0.4473236111615975,0.4473236111615668,6.862518736976734e-14,553,1.0,6.8711628913879395
10000,0.2,3,original,0.45010413963949203,0.44846590372593714,0.003639681951974538,0.45010413963949286,0.4500820560899168,4.906320033791522e-05,538,1.0,103.3049669265747
10000,0.2,3,opt,inf,-inf,,0.45010151372786433,0.4501015137278422,4.920878660866566e-14,538,1.0,6.514856815338135
10000,0.2,4,original,0.4507602446469068,0.4459575785869616,0.010654591031441193,0.44613406565701885,0.4460819782823914,0.00011675274012255799,553,12953.0,601.0081670284271
10000,0.2,4,opt,0.4461340555101825,0.4460880088395235,0.00010321263326633363,0.4461340580914109,0.4461340555101825,5.785768539469512e-09,553,3.0,7.749207973480225
