n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
300,0.2,4,original,0.35565540245389876,0.3386885343839277,0.04770591969897141,0.34415540589909194,0.3441546739037976,2.1269324316167225e-06,27,670.0,0.6156389713287354
300,0.2,4,opt,inf,-inf,,0.34415536034631694,0.34415536034631694,0.0,27,0.0,0.04725193977355957
300,0.2,4,tree,,,,0.344155360346317,,,27,0.0,0.23683714866638184
500,0.2,0,original,0.3609272222882789,0.35740148197930516,0.009768562998990595,0.3609272222882789,0.36091487324825844,3.42147647998427e-05,47,472.0,0.9883990287780762
500,0.2,0,opt,inf,-inf,,0.36092722228827884,0.3609272222882789,-1.5380150845734797e-16,47,0.0,0.08423995971679688
500,0.2,0,tree,,,,0.3609272222882789,,,47,0.0,0.5394952297210693
500,0.2,1,original,0.36478500242423995,0.36321262602684,0.004310419526434589,0.36478500242423995,0.36474928588327965,9.791120995363094e-05,46,815.0,1.654844045639038
500,0.2,1,opt,inf,-inf,,0.3647850024242399,0.3647850024242399,0.0,46,0.0,0.07028007507324219
500,0.2,1,tree,,,,0.3647850024242399,,,46,0.0,0.5337159633636475
500,0.2,2,original,0.3862884984427425,0.3723054747798017,0.03619839503198003,0.37692235784617023,0.3769215699582835,2.0903187892935905e-06,44,25983.0,7.200143098831177
500,0.2,2,opt,inf,-inf,,0.37692235443546496,0.37692235443546496,0.0,44,0.0,0.07670402526855469
500,0.2,2,tree,,,,0.37692235443546507,,,44,0.0,0.5296297073364258
500,0.2,3,original,0.36368874406414997,0.36038688370047045,0.009078808232506407,0.363683889351683,0.3636557629941881,7.733737544718676e-05,48,1915.0,1.4800450801849365
500,0.2,3,opt,inf,-inf,,0.3636838787251107,0.3636838787251107,0.0,48,0.0,0.0868070125579834
500,0.2,3,tree,,,,0.3636838787251109,,,48,0.0,0.5302672386169434
500,0.2,4,original,0.3684931069664802,0.36085784567383017,0.02072022827103943,0.36843516091616996,0.3684342522023558,2.466414475428835e-06,48,8525.0,3.1785900592803955
500,0.2,4,opt,inf,-inf,,0.36843514109227193,0.36843514109227193,0.0,48,0.0,0.08890318870544434
500,0.2,4,tree,,,,0.3684351410922723,,,48,0.0,0.5339810848236084
1000,0.2,0,original,0.41312201369036067,0.39378785391279497,0.046800119908538336,0.3960021561874678,0.39596342292168935,9.781074464688379e-05,87,1712.0,3.8151800632476807
1000,0.2,0,opt,inf,-inf,,0.39600202025112435,0.3960020202511218,6.4482321454283285e-15,88,1.0,0.21549296379089355
1000,0.2,0,tree,,,,0.3960020202511242,,,88,0.0,1.8618874549865723
1000,0.2,1,original,0.41263227429364446,0.40052021307058744,0.029353160132204376,0.40262183367644955,0.40258886391835397,8.188765570541538e-05,85,26811.0,13.96557092666626
1000,0.2,1,opt,inf,-inf,,0.40262183236076177,0.40262120021771686,1.570066484480258e-06,85,0.0,0.17297697067260742
1000,0.2,1,tree,,,,0.4026218323607619,,,85,0.0,1.9556593894958496
1000,0.2,2,original,0.38293418643848365,0.38113332447438225,0.004702797576916512,0.3827359376525948,0.3826987587712572,9.713977100141543e-05,86,464.0,2.355539083480835
1000,0.2,2,opt,inf,-inf,,0.38273580504122817,0.38273580504122817,0.0,86,0.0,0.14957904815673828
1000,0.2,2,tree,,,,0.3827358050412283,,,86,0.0,1.8606257438659668
1000,0.2,3,original,0.4114261906203543,0.3911202274794996,0.049355057125160355,0.3929563699177509,0.39291902203908496,9.504332166381709e-05,88,1104.0,3.788723945617676
1000,0.2,3,opt,inf,-inf,,0.3929563495634589,0.3929563495634589,0.0,88,0.0,0.1878669261932373
1000,0.2,3,tree,,,,0.39295634956345893,,,88,0.0,1.8724074363708496
1000,0.2,4,original,0.4238582515097431,0.3990845923975353,0.05844798119174598,0.40120954092068783,0.4011723837811822,9.261280133162254e-05,84,10228.0,7.288765907287598
1000,0.2,4,opt,inf,-inf,,0.40120952724506076,0.40120952724506076,0.0,84,0.0,0.19677400588989258
1000,0.2,4,tree,,,,0.40120952724506076,,,84,0.0,1.874392032623291
2000,0.2,0,original,0.4227160964398988,0.4212190088420034,0.003541591177870516,0.42220536603082337,0.4221662073467394,9.274795451353039e-05,149,4778.0,11.407768964767456
2000,0.2,0,opt,inf,-inf,,0.42220536100475425,0.42220536100475425,0.0,149,0.0,0.32352304458618164
2000,0.2,0,tree,,,,0.4222053610047544,,,149,0.0,6.758200645446777
